Batch_Number,Date,Drug_Name,MRP_Unit_Price,Qty_Sold,Total_Amount,Transaction_ID
DOL-2301-95,2023-01-06,Dolo 650,30.0,9,270.0,TXN-10001
GEN-10002,2023-01-06,Glycomet 500,22.5,5,112.5,TXN-10002
GLY-2301-13,2023-01-06,Glycomet 500,22.5,2,45.0,TXN-10003
AZI-2301-67,2023-01-06,Azithral 500,118.5,9,1066.5,TXN-10004
DOL-2301-95,2023-01-06,Dolo 650,30.0,6,180.0,TXN-10005
ALL-2301-79,2023-01-06,Allegra 120,198.0,3,594.0,TXN-10006
AZI-2301-67,2023-01-07,Azithral 500,118.5,4,474.0,TXN-10007
GEN-10008,2023-01-07,Telma 40,220.0,3,660.0,TXN-10008
DOL-2301-95,2023-01-07,Dolo 650,30.0,5,150.0,TXN-10009
ALL-2301-79,2023-01-07,Allegra 120,198.0,3,594.0,TXN-10010
DOL-2301-95,2023-01-07,Dolo 650,300.0,9,2700.0,TXN-10011
ALL-2301-79,2023-01-07,Allegra 120,198.0,5,990.0,TXN-10012
ALL-2301-79,2023-01-07,Allegra 120,198.0,2,396.0,TXN-10013
GEN-10014,2023-01-07,Glycomet 500,22.5,1,22.5,TXN-10014
DOL-2301-95,2023-01-07,Dolo 650,30.0,8,240.0,TXN-10015
PAN-2301-58,2023-01-07,Pan 40,155.0,2,310.0,TXN-10016
PAN-2301-58,2023-01-07,Pan 40,155.0,4,620.0,TXN-10017
GLY-2301-13,2023-01-07,Glycomet-500,22.5,1,22.5,TXN-10018
PAN-2301-58,2023-01-07,Pan 40,155.0,5,775.0,TXN-10019
TEL-2301-80,2023-01-07,Telma 40,220.0,2,440.0,TXN-10020
DOL-2301-95,2023-01-08,Dolo 650,30.0,4,120.0,TXN-10021
TEL-2301-80,2023-01-08,Telma 40,220.0,1,220.0,TXN-10022
DOL-2301-95,2023-01-08,Dolo 650,30.0,6,180.0,TXN-10023
GLY-2301-13,2023-01-08,Glycomet 500,22.5,3,67.5,TXN-10024
ALL-2301-79,2023-01-08,Allegra 120,198.0,4,792.0,TXN-10025
AZI-2301-67,2023-01-08,Azithral 500,118.5,5,592.5,TXN-10026
PAN-2301-58,2023-01-08,Pan 40,155.0,3,465.0,TXN-10027
DOL-2301-95,2023-01-08,Dolo 650,30.0,6,180.0,TXN-10028
ALL-2301-79,2023-01-08,Allegra 120,198.0,5,990.0,TXN-10029
GLY-2301-13,2023-01-08,Glycomet 500,22.5,2,45.0,TXN-10030
GLY-2301-13,2023-01-08,Glycomet 500,22.5,4,90.0,TXN-10031
GLY-2301-13,2023-01-09,Glycomet 500,22.5,5,112.5,TXN-10032
AZI-2301-67,2023-01-09,Azithral 500,118.5,6,711.0,TXN-10033
TEL-2301-80,2023-01-09,Telma 40,220.0,3,660.0,TXN-10034
GLY-2301-13,2023-01-09,Glycomet 500,22.5,5,112.5,TXN-10035
PAN-2301-58,2023-01-09,Pan 40,155.0,5,775.0,TXN-10036
GEN-10037,2023-01-09,Glycomet 500,22.5,2,45.0,TXN-10037
AZI-2301-67,2023-01-10,Azithral 500,118.5,7,829.5,TXN-10038
